Date,Open,High,Low,Close,Volume
06/17/2019,"5,810","5,840","5,790","5,795","83,624,004"
06/14/2019,"5,845","5,845","5,790","5,800","57,220,499"
06/13/2019,"5,885","5,885","5,790","5,805","78,802,499"
06/12/2019,"5,840","5,900","5,820","5,845","69,255,499"
06/11/2019,"5,900","5,960","5,845","5,910","72,900,999"
06/10/2019,"6,000","6,190","5,810","5,880","179,238,007"
05/31/2019,"5,740","5,870","5,735","5,820","96,874,999"
05/29/2019,"5,800","5,895","5,730","5,740","133,044,498"
05/28/2019,"5,655","5,770","5,655","5,735","209,923,007"
05/27/2019,"5,535","5,700","5,530","5,685","68,563,999"
05/24/2019,"5,610","5,630","5,605","5,610","37,401,999"
05/23/2019,"5,440","5,605","5,340","5,605","54,925,999"
05/22/2019,"5,530","5,530","5,400","5,460","38,518,999"
05/21/2019,"5,470","5,495","5,400","5,460","97,370,994"
05/20/2019,"5,180","5,390","5,140","5,380","54,764,499"
05/17/2019,"5,280","5,310","5,180","5,180","74,206,999"
05/16/2019,"5,460","5,480","5,280","5,280","87,939,004"
05/15/2019,"5,555","5,555","5,445","5,460","72,064,999"
05/14/2019,"5,560","5,630","5,495","5,495","114,800,498"
05/13/2019,"5,680","5,695","5,600","5,610","63,720,499"
05/10/2019,"5,610","5,680","5,600","5,610","76,130,499"
05/09/2019,"5,700","5,700","5,625","5,630","126,636,503"
05/08/2019,"5,600","5,700","5,595","5,700","59,061,999"
05/07/2019,"5,675","5,710","5,650","5,660","59,176,999"
05/06/2019,"5,600","5,660","5,595","5,620","36,649,499"
05/03/2019,"5,680","5,750","5,615","5,675","58,244,499"
05/02/2019,"5,800","5,810","5,675","5,685","80,879,499"
04/30/2019,"5,670","5,760","5,670","5,750","107,607,498"
04/29/2019,"5,610","5,695","5,595","5,685","65,480,499"
04/26/2019,"5,585","5,645","5,570","5,620","66,204,499"
04/25/2019,"5,535","5,620","5,525","5,595","61,482,499"
04/24/2019,"5,640","5,640","5,600","5,630","46,974,999"
04/23/2019,"5,680","5,710","5,595","5,630","48,653,999"
04/22/2019,"5,625","5,680","5,585","5,625","62,837,499"
04/18/2019,"5,600","5,805","5,580","5,625","129,332,498"
04/16/2019,"5,495","5,505","5,475","5,495","71,016,999"
04/15/2019,"5,560","5,570","5,490","5,505","68,151,999"
04/12/2019,"5,460","5,510","5,460","5,510","28,857,500"
04/11/2019,"5,560","5,560","5,480","5,490","43,191,499"
04/10/2019,"5,550","5,555","5,515","5,535","33,592,499"
04/09/2019,"5,535","5,550","5,515","5,545","50,107,499"
04/08/2019,"5,505","5,540","5,450","5,515","63,850,499"
04/05/2019,"5,560","5,560","5,505","5,505","30,528,500"
04/04/2019,"5,540","5,560","5,490","5,545","68,505,499"
04/02/2019,"5,530","5,570","5,480","5,500","60,202,499"
04/01/2019,"5,550","5,550","5,475","5,475","44,014,499"
03/29/2019,"5,515","5,550","5,460","5,550","73,554,999"
03/28/2019,"5,460","5,490","5,425","5,490","47,960,499"
03/27/2019,"5,510","5,510","5,450","5,450","41,367,499"
